InstanceCategory,APIName,InstanceMemory,vCPUs,InstanceStorageCapacity,SSDs,IOPs,SSDBwMb,NetworkPerformance,NetworkBW,MessageRate,OnDemand,LinuxReservedcost,LinuxSpotMinimumcost,WindowsOnDemandcost,WindowsReservedcost
r5d,r5d.metal,768,96,3600,4,800000,3200,25,3.125,1000000,6.912,4.355,2.7529,11.328,8.771
r6gd,r6gd.16xlarge,512,64,3800,2,400000,1600,25,3.125,1000000,4.416,2.7886,1.0149,unavailable,unavailable
r6id,r6id.16xlarge,512,64,3800,2,400000,1600,25,3.125,1000000,4.8384,3.0408,1.8352,7.7824,5.9848
i3,i3.metal,512,72,15200,8,1600000,6400,25,3.125,1000000,4.992,3.427,1.7742,7.936,6.371
r6gd,r6gd.metal,512,64,3800,2,400000,1600,25,3.125,1000000,4.416,2.7886,0.9338,unavailable,unavailable
i3,i3.16xlarge,488,64,15200,8,1600000,6400,25,3.125,1000000,4.992,3.427,1.8921,7.936,6.371
m5d,m5d.24xlarge,384,96,3600,4,800000,3200,25,3.125,1000000,5.424,3.417,2.3434,9.84,7.833
z1d,z1d.metal,384,48,1800,2,400000,1600,25,3.125,1000000,4.464,2.812,1.6559,6.672,5.02
z1d,z1d.12xlarge,384,48,1800,2,400000,1600,25,3.125,1000000,4.464,2.812,1.7103,6.672,5.02
m5d,m5d.metal,384,96,3600,4,800000,3200,25,3.125,1000000,5.424,3.417,2.0806,9.84,7.833
g5,g5.16xlarge,256,64,1900,1,200000,800,25,3.125,1000000,4.096,2.5805,1.531,7.04,5.5245
r5dn,r5dn.8xlarge,256,32,1200,2,400000,1600,25,3.125,1000000,2.672,1.683,1.6132,4.144,3.155
m6id,m6id.16xlarge,256,64,3800,2,400000,1600,25,3.125,1000000,3.7968,2.392,1.528,6.7408,5.336
m6gd,m6gd.16xlarge,256,64,3800,2,400000,1600,25,3.125,1000000,3.488,2.1839,0.9088,unavailable,unavailable
g4ad,g4ad.16xlarge,256,64,2400,2,400000,1600,25,3.125,1000000,3.468,2.1848,1.4324,6.412,5.1288
m6gd,m6gd.metal,256,64,3800,2,400000,1600,25,3.125,1000000,3.488,2.1839,0.7555,unavailable,unavailable
i3en,i3en.6xlarge,192,24,15000,2,400000,1600,25,3.125,1000000,2.712,1.847,0.9413,3.816,2.951
c5d,c5d.24xlarge,192,96,3600,4,800000,3200,25,3.125,1000000,4.608,2.903,1.9227,9.024,7.319
c5d,c5d.metal,192,96,3600,4,800000,3200,25,3.125,1000000,4.608,2.903,1.8131,9.024,7.319
c5d,c5d.18xlarge,144,72,1800,2,400000,1600,25,3.125,1000000,3.456,2.177,1.3892,6.768,5.489
c6gd,c6gd.metal,128,64,3800,2,400000,1600,25,3.125,1000000,2.848,1.7808,0.5696,unavailable,unavailable
c6id,c6id.16xlarge,128,64,3800,2,400000,1600,25,3.125,1000000,3.2256,2.0328,1.2812,6.1696,4.9768
g5,g5.8xlarge,128,32,900,1,200000,800,25,3.125,1000000,2.448,1.5422,1.0387,3.92,3.0142
c6gd,c6gd.16xlarge,128,64,3800,2,400000,1600,25,3.125,1000000,2.848,1.7808,0.5875,unavailable,unavailable
m5dn,m5dn.8xlarge,128,32,1200,2,400000,1600,25,3.125,1000000,2.176,1.371,1.0123,3.648,2.843
is4gen,is4gen.4xlarge,96,16,15000,2,400000,1600,25,3.125,1000000,2.754,1.8828,0.3829,unavailable,unavailable
im4gn,im4gn.4xlarge,64,16,7500,1,200000,800,25,3.125,1000000,1.735,1.1176,0.2978,unavailable,unavailable
x2iedn,x2iedn.16xlarge,2048,64,1900,1,200000,800,50,6.25,2000000,13.338,8.2069,4.5654,16.282,11.1509
r6id,r6id.32xlarge,1024,128,7600,4,800000,3200,50,6.25,2000000,9.6768,6.0816,3.668,15.5648,11.9696
r6id,r6id.metal,1024,128,7600,4,800000,3200,50,6.25,2000000,9.6768,6.0816,3.7825,15.5648,11.9696
x2idn,x2idn.16xlarge,1024,64,1900,1,200000,800,50,6.25,2000000,6.669,4.1034,2.5128,9.613,7.0474
m6id,m6id.32xlarge,512,128,7600,4,800000,3200,50,6.25,2000000,7.5936,4.784,3.2771,13.4816,10.672
m6id,m6id.metal,512,128,7600,4,800000,3200,50,6.25,2000000,7.5936,4.784,2.837,13.4816,10.672
i3en,i3en.12xlarge,384,48,30000,4,800000,3200,50,6.25,2000000,5.424,3.694,2.087,7.632,5.902
g5,g5.24xlarge,384,96,3800,1,200000,800,50,6.25,2000000,8.144,5.1307,3.1911,12.56,9.5467
r5dn,r5dn.12xlarge,384,48,1800,2,400000,1600,50,6.25,2000000,4.008,2.525,2.1559,6.216,4.733
c6id,c6id.32xlarge,256,128,7600,4,800000,3200,50,6.25,2000000,6.4512,4.0656,2.6031,12.3392,9.9536
c6id,c6id.metal,256,128,7600,4,800000,3200,50,6.25,2000000,6.4512,4.0656,2.5235,12.3392,9.9536
g4dn,g4dn.16xlarge,256,64,900,1,200000,800,50,6.25,2000000,4.352,2.742,1.5675,7.296,5.686
r6idn,r6idn.8xlarge,256,32,1900,1,200000,800,50,6.25,2000000,3.1262,1.9695,1.3287,4.5982,3.4415
is4gen,is4gen.8xlarge,192,32,30000,4,800000,3200,50,6.25,2000000,5.508,3.7656,0.6485,unavailable,unavailable
m5dn,m5dn.12xlarge,192,48,1800,2,400000,1600,50,6.25,2000000,3.264,2.056,1.388,5.472,4.264
g4dn,g4dn.12xlarge,192,48,900,1,200000,800,50,6.25,2000000,3.912,2.465,1.7157,6.12,4.673
g4dn,g4dn.8xlarge,128,32,900,1,200000,800,50,6.25,2000000,2.176,1.371,0.8425,3.648,2.843
m6idn,m6idn.8xlarge,128,32,1900,1,200000,800,50,6.25,2000000,2.5459,1.6039,1.0126,4.0179,3.0759
im4gn,im4gn.8xlarge,128,32,15000,2,400000,1600,50,6.25,2000000,3.47,2.2352,0.4875,unavailable,unavailable
x2iedn,x2iedn.24xlarge,3072,96,2850,2,400000,1600,75,9.375,3000000,20.007,12.3103,7.2567,24.423,16.7263
x2idn,x2idn.24xlarge,1536,96,2850,2,400000,1600,75,9.375,3000000,10.0035,6.1551,3.6883,14.4195,10.5711
i4i,i4i.32xlarge,1024,128,30000,8,1600000,6400,75,9.375,3000000,10.9824,7.1266,3.9385,16.8704,13.0146
i4i,i4i.metal,1024,128,30000,8,1600000,6400,75,9.375,3000000,10.982,7.127,4.1685,16.87,13.015
r5dn,r5dn.16xlarge,512,64,2400,4,800000,3200,75,9.375,3000000,5.344,3.367,2.1965,8.288,6.311
r6idn,r6idn.12xlarge,384,48,2850,2,400000,1600,75,9.375,3000000,4.6894,2.9543,1.9801,6.8974,5.1623
m5dn,m5dn.16xlarge,256,64,2400,4,800000,3200,75,9.375,3000000,4.352,2.742,1.768,7.296,5.686
m6idn,m6idn.12xlarge,192,48,2850,2,400000,1600,75,9.375,3000000,3.8189,2.4059,1.3483,6.0269,4.6139
x2iedn,x2iedn.32xlarge,4096,128,3800,2,400000,1600,100,12.5,4000000,26.676,16.4137,9.762,32.564,22.3017
x2iedn,x2iedn.metal,4096,128,3800,2,400000,1600,100,12.5,4000000,26.676,16.4137,9.062,32.564,22.3017
x2idn,x2idn.32xlarge,2048,128,3800,2,400000,1600,100,12.5,4000000,13.338,8.2069,4.5062,19.226,14.0949
x2idn,x2idn.metal,2048,128,3800,2,400000,1600,100,12.5,4000000,13.338,8.2069,5.0026,19.226,14.0949
i3en,i3en.metal,768,96,60000,8,1600000,6400,100,12.5,4000000,10.848,7.388,3.732,15.264,11.804
r5dn,r5dn.metal,768,96,3600,4,800000,3200,100,12.5,4000000,8.016,5.05,3.1361,12.432,9.466
i3en,i3en.24xlarge,768,96,60000,8,1600000,6400,100,12.5,4000000,10.848,7.388,4.0437,15.264,11.804
p3dn,p3dn.24xlarge,768,96,1800,2,400000,1600,100,12.5,4000000,31.212,19.215,11.9702,35.628,23.631
r5dn,r5dn.24xlarge,768,96,3600,4,800000,3200,100,12.5,4000000,8.016,5.05,3.3336,12.432,9.466
g5,g5.48xlarge,768,192,7600,2,400000,1600,100,12.5,4000000,16.288,10.2614,6.2777,25.12,19.0934
r6idn,r6idn.16xlarge,512,64,3800,2,400000,1600,100,12.5,4000000,6.2525,3.9391,2.4849,9.1965,6.8831
m5dn,m5dn.24xlarge,384,96,3600,4,800000,3200,100,12.5,4000000,6.528,4.113,2.4091,10.944,8.529
m5dn,m5dn.metal,384,96,3600,4,800000,3200,100,12.5,4000000,6.528,4.113,2.3474,10.944,8.529
g4dn,g4dn.metal,384,96,1800,2,400000,1600,100,12.5,4000000,7.824,4.929,3.4592,12.24,9.345
im4gn,im4gn.16xlarge,256,64,30000,4,800000,3200,100,12.5,4000000,6.94,4.4703,0.8855,unavailable,unavailable
m6idn,m6idn.16xlarge,256,64,3800,2,400000,1600,100,12.5,4000000,5.0918,3.2079,1.9928,8.0358,6.1519
p5,p5.48xlarge,2048,192,30400,8,1600000,6400,3200,400,128000000,98.32,unavailable,70.198,unavailable,unavailable
p4de,p4de.24xlarge,1152,96,8000,8,1600000,6400,400,50,16000000,40.9657,25.2194,unavailable,unavailable,unavailable
r6idn,r6idn.32xlarge,1024,128,7600,4,800000,3200,200,25,8000000,12.505,7.8781,4.8259,18.393,13.7661
r6idn,r6idn.metal,1024,128,7600,4,800000,3200,200,25,8000000,12.505,7.8781,4.4931,18.393,13.7661
i4i,i4i.24xlarge,768,96,22500,6,1200000,4800,56.25,7.03125,2250000,8.2368,5.3449,2.4586,12.6528,9.7609
r6id,r6id.24xlarge,768,96,5700,4,800000,3200,37.5,4.6875,1500000,7.2576,4.5612,2.6988,11.6736,8.9772
r6idn,r6idn.24xlarge,768,96,5700,4,800000,3200,150,18.75,6000000,9.3787,5.9086,3.734,13.7947,10.3246
i4i,i4i.16xlarge,512,64,15000,4,800000,3200,37.5,4.6875,1500000,5.491,3.563,2.0278,8.435,6.507
m6idn,m6idn.32xlarge,512,128,7600,4,800000,3200,200,25,8000000,10.1837,6.4157,4.0021,16.0717,12.3037
m6idn,m6idn.metal,512,128,7600,4,800000,3200,200,25,8000000,10.1837,6.4157,3.7158,16.0717,12.3037
r7gd,r7gd.16xlarge,512,64,3800,2,400000,1600,30,3.75,1200000,5.2315,3.2959,1.107,unavailable,unavailable
r6id,r6id.12xlarge,384,48,2850,2,400000,1600,18.75,2.34375,750000,3.6288,2.2806,1.4032,5.8368,4.4886
m6idn,m6idn.24xlarge,384,96,5700,4,800000,3200,150,18.75,6000000,7.6378,4.8118,2.8221,12.0538,9.2278
m6id,m6id.24xlarge,384,96,5700,4,800000,3200,37.5,4.6875,1500000,5.6952,3.588,2.3522,10.1112,8.004
i4i,i4i.12xlarge,384,48,11250,3,600000,2400,28.12,3.515,1124800,4.118,2.672,1.8073,6.326,4.88
r7gd,r7gd.12xlarge,384,48,2850,2,400000,1600,22.5,2.8125,900000,3.9236,2.4719,0.8035,unavailable,unavailable
r7gd,r7gd.8xlarge,256,32,1900,1,200000,800,15,1.875,600000,2.6158,1.6479,0.9666,unavailable,unavailable
m7gd,m7gd.16xlarge,256,64,3800,2,400000,1600,30,3.75,1200000,4.1126,2.591,0.8367,unavailable,unavailable
r6id,r6id.8xlarge,256,32,1900,1,200000,800,12.5,1.5625,500000,2.4192,1.5204,0.9168,3.8912,2.9924
i4i,i4i.8xlarge,256,32,7500,2,400000,1600,18.75,2.34375,750000,2.746,1.782,1.1221,4.218,3.254
c6id,c6id.24xlarge,192,96,5700,4,800000,3200,37.5,4.6875,1500000,4.8384,3.0492,2.0379,9.2544,7.4652
m6id,m6id.12xlarge,192,48,2850,2,400000,1600,18.75,2.34375,750000,2.8476,1.794,1.1101,5.0556,4.002
g5,g5.12xlarge,192,48,3800,1,200000,800,40,5,1600000,5.672,3.5734,2.2619,7.88,5.7814
m7gd,m7gd.12xlarge,192,48,2850,2,400000,1600,22.5,2.8125,900000,3.0845,1.9432,0.6841,unavailable,unavailable
r6idn,r6idn.4xlarge,128,16,950,1,200000,800,50,6.25,2000000,1.5631,0.9848,0.662,2.2991,1.7208
m7gd,m7gd.8xlarge,128,32,1900,1,200000,800,15,1.875,600000,2.0563,1.2955,0.6601,unavailable,unavailable
g4ad,g4ad.8xlarge,128,32,1200,1,200000,800,15,1.875,600000,1.734,1.0924,0.7488,3.206,2.5644
r6id,r6id.4xlarge,128,16,950,1,200000,800,12.5,1.5625,500000,1.2096,0.7602,0.5914,1.9456,1.4962
m6id,m6id.8xlarge,128,32,1900,1,200000,800,12.5,1.5625,500000,1.8984,1.196,0.7656,3.3704,2.668
r7gd,r7gd.4xlarge,128,16,950,1,200000,800,15,1.875,600000,1.3079,0.824,0.4647,unavailable,unavailable
c7gd,c7gd.16xlarge,128,64,3800,2,400000,1600,30,3.75,1200000,3.3568,2.1148,0.7686,unavailable,unavailable
c6id,c6id.12xlarge,96,48,2850,2,400000,1600,18.75,2.34375,750000,2.4192,1.5246,1.0053,4.6272,3.7326
c7gd,c7gd.12xlarge,96,48,2850,2,400000,1600,22.5,2.8125,900000,2.5176,1.5861,0.674,unavailable,unavailable
c6id,c6id.8xlarge,64,32,1900,1,200000,800,12.5,1.5625,500000,1.6128,1.0164,0.6831,3.0848,2.4884
m6id,m6id.4xlarge,64,16,950,1,200000,800,12.5,1.5625,500000,0.9492,0.598,0.3689,1.6852,1.334
m6idn,m6idn.4xlarge,64,16,950,1,200000,800,50,6.25,2000000,1.273,0.802,0.5573,2.009,1.538
i4i,i4i.2xlarge,64,8,1875,1,200000,800,12,1.5,480000,0.686,0.445,0.2907,1.054,0.813
m7gd,m7gd.4xlarge,64,16,950,1,200000,800,15,1.875,600000,1.0282,0.6477,0.366,unavailable,unavailable
r6id,r6id.2xlarge,64,8,474,1,200000,800,12.5,1.5625,500000,0.6048,0.3801,0.2991,0.9728,0.7481
r6idn,r6idn.2xlarge,64,8,474,1,200000,800,40,5,1600000,0.7816,0.4924,0.3327,1.1496,0.8604
r7gd,r7gd.2xlarge,64,8,474,1,200000,800,15,1.875,600000,0.6539,0.412,0.2436,unavailable,unavailable
c7gd,c7gd.8xlarge,64,32,1900,1,200000,800,15,1.875,600000,1.6784,1.0574,0.6768,unavailable,unavailable
m6id,m6id.2xlarge,32,8,474,1,200000,800,12.5,1.5625,500000,0.4746,0.299,0.1817,0.8426,0.667
r6idn,r6idn.xlarge,32,4,237,1,200000,800,30,3.75,1200000,0.3908,0.2462,0.1514,0.5748,0.4302
c6id,c6id.4xlarge,32,16,950,1,200000,800,12.5,1.5625,500000,0.8064,0.5082,0.3529,1.5424,1.2442
m6idn,m6idn.2xlarge,32,8,474,1,200000,800,40,5,1600000,0.6365,0.401,0.2621,1.0045,0.769
r6id,r6id.xlarge,32,4,237,1,200000,800,12.5,1.5625,500000,0.3024,0.19,0.1163,0.4864,0.374
trn1,trn1.2xlarge,32,8,474,1,200000,800,12.5,1.5625,500000,1.3438,0.8268,0.4608,unavailable,unavailable
m7gd,m7gd.2xlarge,32,8,474,1,200000,800,15,1.875,600000,0.5141,0.3239,0.1921,unavailable,unavailable
r7gd,r7gd.xlarge,32,4,237,1,200000,800,12.5,1.5625,500000,0.327,0.206,0.0977,unavailable,unavailable
c7gd,c7gd.4xlarge,32,16,950,1,200000,800,15,1.875,600000,0.8392,0.5287,0.2725,unavailable,unavailable
m6id,m6id.xlarge,16,4,237,1,200000,800,12.5,1.5625,500000,0.2373,0.1495,0.0903,0.4213,0.3335
c6id,c6id.2xlarge,16,8,474,1,200000,800,12.5,1.5625,500000,0.4032,0.2541,0.1766,0.7712,0.6221
m6idn,m6idn.xlarge,16,4,237,1,200000,800,30,3.75,1200000,0.3182,0.2005,0.1236,0.5022,0.3845
c7gd,c7gd.2xlarge,16,8,474,1,200000,800,15,1.875,600000,0.4196,0.2643,0.2007,unavailable,unavailable
r6id,r6id.large,16,2,118,1,200000,800,12.5,1.5625,500000,0.1512,0.095,0.0575,0.2432,0.187
m7gd,m7gd.xlarge,16,4,237,1,200000,800,12.5,1.5625,500000,0.257,0.1619,0.0939,unavailable,unavailable
r7gd,r7gd.large,16,2,118,1,200000,800,12.5,1.5625,500000,0.1635,0.103,0.0465,unavailable,unavailable
m6id,m6id.large,8,2,118,1,200000,800,12.5,1.5625,500000,0.1187,0.0747,0.0486,0.2107,0.1668
c7gd,c7gd.xlarge,8,4,237,1,200000,800,12.5,1.5625,500000,0.2098,0.1322,0.0635,unavailable,unavailable
m7gd,m7gd.large,8,2,118,1,200000,800,12.5,1.5625,500000,0.1285,0.081,0.0311,unavailable,unavailable
r7gd,r7gd.medium,8,1,59,1,200000,800,12.5,1.5625,500000,0.0817,0.0515,0.0164,unavailable,unavailable
c6id,c6id.xlarge,8,4,237,1,200000,800,12.5,1.5625,500000,0.2016,0.127,0.0881,0.3856,0.311
c6id,c6id.large,4,2,118,1,200000,800,12.5,1.5625,500000,0.1008,0.0635,0.0432,0.1928,0.1555
c7gd,c7gd.large,4,2,118,1,200000,800,12.5,1.5625,500000,0.1049,0.0661,0.0304,unavailable,unavailable
m7gd,m7gd.medium,4,1,59,1,200000,800,12.5,1.5625,500000,0.0643,0.0405,0.0147,unavailable,unavailable
c7gd,c7gd.medium,2,1,59,1,200000,800,12.5,1.5625,500000,0.0525,0.033,0.0119,unavailable,unavailable
